German;Spanish
das Bett, die Betten;la cama, las camas
der Sessel, die Sessel;el sillón, los sillones
der Teppich, die Teppiche;la alfombra, las alfombras
der Stuhl, die Stühle;la silla, las sillas
der Spiegel, die Spiegel;el espejo, los espejos
das Sofa, die Sofa;el sofá, los sofas
der Tisch, die Tische;la mesa, las mesas
der Schreibtisch, die Schreibtische;el escritorio, los escritorios
der Schrank, die Schränke;el armario, los armarios
der Kühlschrank, die Kühlschränke;el refrigerador, los refrigeradores
das Regal, die Regale;la estantería, las estanterías
die Wand, die Wände;la pared, las paredes
liegen (Dativ);estar tumbado
stehen (Dativ);estar de pie
hängen (Dativ);estar colgado
