German,Spanish
"passen", "caber"
"fordern", "exigir"
"behandeln", "manejar, tratar"
"existieren", "existir"
"besitzen", "tener"
"bekommen", "recibir"
"essen", "comer"
"schaffen", "lograr"
"führen", "guiar, administrar"
"können", "poder"
"testen", "probar"
"telefonieren", "llamar (por teléfono)"
"entstehen", "surgir"
"tun", "hacer"
"verlassen", "dejar"
"beachten", "cumplir, prestar atención"
"schützen", "proteger"
"versuchen", "intentar"
"erklären", "explicar"
"erfolgen", "setzen"
"verfügen", "disponer"
"wandern", "caminar"
"auswandern", "emigrar"
"entdecken", "descubrir"
"senden", "mandar"
"starten", "empezar"
"empfehlen", "recomendar"
"diskutieren", "discutir"
"zahlen", "pagar"
"ergeben", "ser"
"wünschen", "esperar, desear"
"behalten", "quedarse con"
"benötigen", "necesitar (formal)"
"sollen", "deber"
"verstehen", "entender"
"erfahren", "averiguar"
"installieren", "instalar"
"handeln", "actuar"
"bestehen", "consistir"
"vertreten", "reemplazar, representar"
"vergeben", "perdonar"
"lösen", "resolver"
"veröffentlichen", "publicar"
"beraten", "avisar, asesorar"
"liefern", "suministrar"
"planen", "planear"
"aktivieren", "activar"
"bilden", "formar"
"leisten", "rendir"
"abhängen von", "depender"
"beenden", "terminar"
"heißen", "llamarse"
"eröffnen", "inaugurar"
"zählen", "contar"
"bearbeiten", "editar, revisar"
"legen", "poner"
"garantieren", "garantizar"
"messen", "medir"
"untersuchen", "controlar, examinar"
"genügen", "bastar"
"berechtigen", "autorizar"
"vermitteln", "proporcionar, facilitar"
"lassen", "dejar"
"entfernen", "quitar"
"bestätigen", "confirmar"
"gewinnen", "ganar"
"wirken", "funcionar, parecer"
"besuchen", "visitar"
