English;Vietnamese
đẹp; handsome, pretty
đặc biệt; unusual; special
khó; hard, difficult
dễ; easy
ngon; tasty
thật; so
rất; very
đơn giản; simple
phức tạp; complicated, complex
hạnh phúc; happy, happiness
nhanh; fast
nhỏ; small
lớn; large
quan trọng; important
hài hước; funny, humorous
trung thực; honest
đắt; expensive
rẻ; cheap
chậm; slow
kiên nhẫn; patient
hay; interesting
cần thiết; necessary
nổi tiếng; famous
cũ; old
mới; new
độc lập; independent
xa xỉ; luxurious
giàu; rich
nghèo; poor
nguy hiểm; dangerous
hoàn hảo; perfect
hiện đại; modern
tích cực; positive
bình thường; normal
tốt; good, nice
lạc quan; optimistic
ngắn; short
dài; long
sai; wrong, false
đúng; correct, true
nghiêm túc; serious
truyền thống; traditional, conservative
buồn; sad
tệ; bad
bướng bỉnh; stubborn
trưởng thành; mature
tiện lợi; convenient
thân thiện; friendly
nặng; heavy
lịch sự; polite
ích kỷ; selfish
