English,Spanish
"the adventure", "la aventura"
"the amount", "la cantidad"
"the variety", "la variedad"
"the transportation", "el transporte"
"the opportunity", "la oportunidad"
"the darkness", "la oscuridad"
"the decrease", "la disminución"
"the conclusion", "la conclusión"
"the option", "la opción"
"the conservation", "la conservación"
"the permission", "el permiso"
"the panorama", "el panorama"
"the destruction", "la destrucción"
"the symbol", "el símbolo"
"the rival", "el rival"
"the equality", "la igualdad"
"the revision, the inspection", "la revisión"
"the scandal", "el escándalo"
"the profile", "el perfil"
"the well-being", "el bienestar"
"the fame", "la fama"
"the identification", "la identificación"
"the way, the manner (m..)", "la manera"
