English,Spanish
"the universe", "el universo"
"the leaf, the sheet (of paper)", "la hoja"
"the gas", "el gas"
"the cell", "la célula"
"the climate", "el clima"
"the forest", "el bosque"
"the landscape, the scenery", "el paisaje"
"the root", "la raíz"
"the brain", "el cerebro"
"the mountain (fem.)", "la montaña"
"the tooth", "el diente"
"the bone", "el hueso"
"the wind", "el viento"
"the star", "la estrella"
"the smoke", "el humo"
"the plant", "la planta"
"the environment, the atmosphere (masc.)", "el ambiente"
"the current, the trend", "la corriente"
"the mountain (masc.)", "el monte"
"the rose", "la rosa"
"the sand", "la arena"
"the space, space", "el espacio"
