English,Spanish
"concentration", "la concentración"
"the honor", "el honor"
"the resource", "el recurso"
"the category", "la categoría"
"the proposal", "la propuesta"
"the meaning", "el significado"
"the impact", "el impacto"
"the intensity", "la intensidad"
"the noise", "el ruido"
"the exception", "la excepción"
"the review, the criticism", "la crítica"
"the dream", "el sueño"
"the definition", "la definición"
"the order", "el orden"
"the pause", "la pausa"
"the area, the extension (e..)", "la extensión"
"the charge", "el cargo"
"the failure", "el fracaso"
