English;German
the gesture; el gesto
the relationship; la relación
the influence; la influencia
the experience; la experiencia
the intention; la intención
the beauty; la belleza
the ceremony; la ceremonia
the loss; la pérdida
the situation; la situación
the version; la versión
the union; la unión
the consequence; la consecuencia
the unity, the unit; la unidad
the behavior (fem.); la conducta
the commitment; el compromiso
the identity; la identidad
the presence; la presencia
the edition; la edición
the presentation; la presentación
