English;German
superior, top; superior
excellent; excelente
industrial; industrial
true, real (v..); verdadero
worldwide, world (adj.); mundial
pure; puro
childish, infantile; infantil
original; original
profound, deep; profundo
bad, wrong, ill; mal
appropriate; adecuado
dark, gloomy; oscuro
crazy; loco
sweet; dulce
similar; similar
electric; eléctrico
probable; probable
old, ancient, antique (a..); antiguo
aware, conscious; consciente
classical; clásico
terrible; terrible
efficient, effective; eficaz
