English;German
the imagination; la imaginación
the summit; la cumbre
the contest; el concurso
the difficulty; la dificultad
the reflection; la reflexión
the sign (masc.); el signo
the opinion; la opinión
the evidence; la evidencia
the childhood; la infancia
the collection; la colección
the obligation; la obligación
the dimension; la dimensión
the request; la petición
the transformation; la transformación
the installation; la instalación
the publication; la publicación
the circle; el círculo
the procedure; el procedimiento
the phenomenon; el fenómeno
the advantage; la ventaja
the attitude; la actitud
the introduction; la introducción
the tail, the line, the glue; la cola
